chunk_id,sum_nats,n_bytes
span_00794,461.993042,800
span_00795,490.683472,800
span_00796,508.472809,800
span_00797,693.950073,800
span_00798,640.366455,800
span_00799,581.068115,800
span_00800,618.676147,800
span_00801,527.693726,800
span_00802,672.705811,800
span_00803,647.713745,800
span_00804,619.187256,800
span_00805,651.842285,800
span_00806,656.708618,800
span_00807,536.449219,800
span_00808,624.132141,800
span_00809,639.948730,800
span_00810,634.031555,800
span_00811,508.907959,800
span_00812,605.934814,800
span_00813,537.453857,800
span_00814,618.039856,800
span_00815,605.168274,800
span_00816,600.812866,800
span_00817,705.797241,800
span_00818,664.022705,800
span_00819,540.846436,800
span_00820,607.899536,800
span_00821,747.820801,800
span_00822,708.964844,800
span_00823,469.047577,800
span_00824,505.850220,800
span_00825,659.916626,800
span_00826,639.243042,800
span_00827,609.869385,800
span_00828,486.322021,800
span_00829,642.539917,800
span_00830,445.345947,800
span_00831,512.422241,800
span_00832,478.014313,800
span_00833,429.416748,800
span_00834,532.990417,800
span_00835,475.953430,800
span_00836,487.913940,800
span_00837,550.034058,800
span_00838,470.286560,800
span_00839,483.865906,800
span_00840,549.757935,800
span_00841,747.467468,800
span_00842,784.126831,800
span_00843,566.139648,800
span_00844,532.991943,800
span_00845,527.297180,800
span_00846,526.882446,800
span_00847,477.209015,800
span_00848,567.217529,800
span_00849,559.463257,800
span_00850,670.896606,800
span_00851,672.404175,800
span_00852,727.276917,800
span_00853,856.467224,800
span_00854,1028.985229,800
span_00855,877.335205,800
span_00856,885.899414,800
span_00857,896.868164,800
span_00858,928.402344,800
span_00859,1001.390381,800
span_00860,911.346985,800
span_00861,870.756042,800
span_00862,710.046143,800
span_00863,711.688293,800
span_00864,729.141113,801
span_00865,682.105103,800
span_00866,800.175049,800
span_00867,757.593506,800
span_00868,609.126465,800
span_00869,708.817749,800
span_00870,809.452148,800
span_00871,748.988281,800
span_00872,686.944702,800
span_00873,619.368713,800
span_00874,611.043213,800
span_00875,604.120239,800
span_00876,615.014038,800
span_00877,398.322205,800
span_00878,459.142822,800
span_00879,411.894592,800
span_00880,507.736389,800
span_00881,477.282288,800
span_00882,454.004272,800
span_00883,409.862885,800
span_00884,534.571533,800
span_00885,549.220398,800
span_00886,549.969666,800
span_00887,485.140839,802
span_00888,471.034698,800
span_00889,512.364868,800
span_00890,631.275513,800
span_00891,616.183289,800
span_00892,616.365540,800
span_00893,561.315552,800
span_00894,572.292480,800
span_00895,599.995483,800
span_00896,661.886047,800
span_00897,601.999512,800
span_00898,534.186890,800
span_00899,553.466553,800
span_00900,487.161194,800
span_00901,540.539062,800
span_00902,544.184448,800
span_00903,596.773132,800
span_00904,549.260681,800
span_00905,516.471375,800
span_00906,633.336670,800
span_00907,566.256653,800
span_00908,600.785645,801
span_00909,688.653564,800
span_00910,548.964294,800
span_00911,530.391052,800
span_00912,716.137817,800
span_00913,579.928711,800
span_00914,516.602722,800
span_00915,557.852661,800
span_00916,613.679626,800
span_00917,539.445923,800
span_00918,546.387634,800
span_00919,586.953735,800
span_00920,518.357910,800
span_00921,410.823059,800
span_00922,445.888367,800
span_00923,567.620972,800
span_00924,721.423462,800
span_00925,725.879761,800
span_00926,773.446655,800
span_00927,796.671875,800
span_00928,765.887939,800
span_00929,787.165039,800
span_00930,827.445923,800
span_00931,610.587402,800
span_00932,383.505585,800
span_00933,559.791138,800
span_00934,533.880249,800
span_00935,490.097534,800
span_00936,605.075806,800
span_00937,497.478058,800
span_00938,535.829956,800
span_00939,556.297180,800
span_00940,509.385071,800
span_00941,530.184998,800
span_00942,594.867920,800
span_00943,519.468628,800
span_00944,524.337646,800
span_00945,558.405090,800
span_00946,466.175201,800
span_00947,549.127686,800
span_00948,439.345032,800
span_00949,464.474762,800
span_00950,499.147278,800
span_00951,450.856476,800
span_00952,503.145508,800
span_00953,560.158936,800
span_00954,671.142700,800
span_00955,686.353516,800
span_00956,684.354248,801
span_00957,621.044189,800
span_00958,721.271851,800
