chunk_id,sum_nats,n_bytes
span_00857,823.481323,800
span_00858,859.310547,800
span_00859,907.043945,800
span_00860,854.764648,800
span_00861,845.239502,800
span_00862,652.873474,800
span_00863,678.061096,800
span_00864,695.304443,801
span_00865,647.570923,800
span_00866,779.770630,800
span_00867,717.167114,800
span_00868,557.319458,800
span_00869,638.647827,800
span_00870,797.810303,800
span_00871,722.966736,800
span_00872,728.434326,800
span_00873,554.375610,800
span_00874,536.178345,800
span_00875,578.243591,800
span_00876,656.754395,800
span_00877,377.112122,800
span_00878,466.593597,800
span_00879,446.947754,800
span_00880,490.037170,800
span_00881,472.559937,800
span_00882,460.848877,800
span_00883,422.497070,800
span_00884,540.313049,800
span_00885,563.940857,800
span_00886,564.192871,800
span_00887,484.175781,802
span_00888,458.149719,800
span_00889,533.438171,800
span_00890,614.205994,800
span_00891,627.050415,800
span_00892,591.996826,800
span_00893,544.685791,800
span_00894,546.445068,800
span_00895,547.681885,800
span_00896,677.214722,800
span_00897,581.016357,800
span_00898,512.086853,800
span_00899,490.120422,800
span_00900,495.980804,800
span_00901,523.912109,800
span_00902,530.754028,800
span_00903,558.593506,800
span_00904,522.275635,800
span_00905,494.353424,800
span_00906,571.000854,800
span_00907,536.527954,800
span_00908,565.590332,801
span_00909,681.535156,800
span_00910,478.926147,800
span_00911,491.519867,800
span_00912,646.514282,800
span_00913,600.193237,800
span_00914,526.524780,800
span_00915,623.810303,800
span_00916,568.721558,800
span_00917,492.563904,800
span_00918,479.922974,800
span_00919,530.191895,800
span_00920,509.272888,800
span_00921,445.141968,800
span_00922,462.784546,800
span_00923,607.099365,800
span_00924,696.794922,800
span_00925,689.072021,800
span_00926,745.926758,800
span_00927,804.290283,800
span_00928,718.824158,800
span_00929,775.005981,800
span_00930,809.584656,800
span_00931,605.690796,800
span_00932,397.108398,800
span_00933,530.464783,800
span_00934,466.804077,800
span_00935,413.614624,800
span_00936,495.030426,800
span_00937,393.397766,800
span_00938,495.617615,800
span_00939,497.411438,800
span_00940,445.131348,800
span_00941,481.965179,800
span_00942,544.057373,800
span_00943,450.535675,800
span_00944,436.535828,800
span_00945,504.017456,800
span_00946,428.005066,800
span_00947,469.820404,800
span_00948,400.960083,800
span_00949,398.892242,800
span_00950,468.173889,800
span_00951,423.011047,800
span_00952,487.747742,800
span_00953,545.101318,800
span_00954,653.062988,800
span_00955,608.572876,800
span_00956,720.353271,801
span_00957,575.347656,800
span_00958,670.108459,800
span_00959,668.256348,800
span_00960,574.336121,800
span_00961,639.205811,800
span_00962,567.123291,800
span_00963,827.732910,800
span_00964,655.054199,800
span_00965,555.197021,800
span_00966,587.642639,800
span_00967,511.393768,800
span_00968,469.653992,800
span_00969,640.876282,800
span_00970,482.942261,800
span_00971,379.995667,800
span_00972,609.019226,800
span_00973,534.110352,800
span_00974,441.813477,800
span_00975,447.307922,800
span_00976,516.822998,800
span_00977,554.714478,800
span_00978,546.070557,800
span_00979,539.570435,800
span_00980,491.842590,800
span_00981,510.346924,800
span_00982,462.736847,800
span_00983,468.604858,800
span_00984,470.085510,800
span_00985,469.545197,800
